#Digilent WaveForms Network Analyzer - Bode
#Device Name: Discovery2
#Serial Number: SN:210321AFD7CC
#Date Time: 2020-11-20 14:03:26.505
#Start: 0.5 Hz
#Stop: 1e+06 Hz
#Steps: 201
#Wavegen: Wavegen1
#Amplification: 1 X
#Settle: 10 ms
#MinPeriods: 16 
#Channel: Channel 1
#Range: 54.3664 V
#Offset: 0.00145283 V
#Relative: no
#Channel: Channel 2
#Range: 54.9218 V
#Offset: 0.00173285 V
#Relative: yes

Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (deg)
0.500000000000001,0.0915669380510304,-0.01741941585975659,-0.09995799772150349
0.5376196753942351,0.08997160394907042,-0.01543315846048381,-0.0987418638195976
0.5780698307420054,0.08970252998926248,-0.0162327704182634,-0.1116723787185094
0.6215634295174334,0.09212342665769578,-0.01815749281606397,-0.1375055824815377
0.6683294584281787,0.08961870619839116,-0.01490578033441975,-0.1341541831891675
0.7186141329931247,0.09057946272184438,-0.0155692999427074,-0.1359954484325101
0.7726821938269451,0.09208819914974491,-0.01869608228694024,-0.1425353429938809
0.8308183004562936,0.09222299624510751,-0.01761428936933,-0.1549698918768456
0.8933285300058035,0.09057462846219924,-0.01557207923845819,-0.1617503979314279
0.9605419886442584,0.09114088945747412,-0.01651455241693477,-0.1870853184022963
1.032812544274916,0.09080944203277881,-0.01720934373578131,-0.19710901721092
1.110520689592347,0.09068380272655191,-0.0165057086659149,-0.2131447256924446
1.194075545314439,0.09059452686850111,-0.01770429705726395,-0.2334370818497433
1.283917014136281,0.09100007100855152,-0.01619114073266691,-0.2385661301421891
1.380518096746166,0.08964584442439637,-0.01573737379312633,-0.2505511525621813
1.484387382097079,0.09066745986513811,-0.01677246797207058,-0.2706891111709382
1.596071725044656,0.08884768145695426,-0.01554343107240396,-0.3080046114762567
1.716159125448846,0.08954537096533846,-0.01610246313155445,-0.3228302380488373
1.845281823897326,0.09108337212499402,-0.01674108675839978,-0.3376940182437131
1.984119630349121,0.09014258450992753,-0.01662338224191964,-0.3683074152194563
2.133403503223244,0.08985332181768732,-0.01620470423242725,-0.3920111119068679
2.293919397775608,0.09163629572228374,-0.01899101086606188,-0.4144468973946402
2.466512404025318,0.09101922775290455,-0.01871278711883587,-0.4622915600608479
2.652091196015887,0.09100393307421906,-0.01837050749323761,-0.4911422016724032
2.851632815835939,0.09120530170359328,-0.01885087004604165,-0.5295085506744783
3.066187817586526,0.08982521249488956,-0.01840445600644383,-0.5571178330587259
3.296885798377245,0.0904987202043926,-0.01737918071602116,-0.5975254883814785
3.544941345470869,0.08893398090151051,-0.01726066181946651,-0.6613820800994716
3.811660430887303,0.0902727932240707,-0.01771143590022057,-0.6993378639545114
4.098447287133355,0.08942656256151911,-0.01788716592527638,-0.7595731402481576
4.406811800258026,0.08985068331397424,-0.01845732512747276,-0.8150329605300017
4.738377459156411,0.09120832286914415,-0.01958863177476133,-0.8783541617164943
5.094889902974049,0.08938875004707528,-0.01825437049451972,-0.9423838313837791
5.478226111612536,0.09056287809681629,-0.02056077346779434,-1.005672885437946
5.890404287722709,0.0904056895315513,-0.02014431425740718,-1.094227715704278
6.333594482212573,0.08938619847642876,-0.01958131758317974,-1.17386519112361
6.810130019211655,0.08956162775866831,-0.02098575376060479,-1.266756817856432
7.322519780642227,0.09019115404424269,-0.0222027036686066,-1.343374056875788
7.873461415073447,0.09025914806033263,-0.0215847080711707,-1.445886863111625
8.465855540401643,0.08932441301945437,-0.02163912191417652,-1.552343901164363
9.102821015130417,0.09059523677125961,-0.02309606992648974,-1.662466174193185
9.787711358652452,0.08971329519425961,-0.02350143600512481,-1.799663555208276
10.52413240698237,0.09007046620249162,-0.02473216652213203,-1.932867823813098
11.31596129689563,0.08955249482518025,-0.02449456466919954,-2.081773389481143
12.16736687842149,0.08876089395159553,-0.02591097774961732,-2.240165674570638
13.08283166315903,0.09044411483287787,-0.02789074206876915,-2.407543559793254
14.06717542396995,0.09003551461623439,-0.02952440140335378,-2.590334266007147
15.12558057029694,0.08992293934159173,-0.02969267430823739,-2.775621660946609
16.26361943270475,0.09042817187066138,-0.03484864910690698,-2.9733467059944
17.48728360029217,0.08919784281996623,-0.03445965073166805,-3.222167154922118
18.80301546543201,0.08984822331538868,-0.03916931447172808,-3.446347665198402
20.21774214191663,0.08932000528730012,-0.04175036737841457,-3.718061965914757
21.73891193508309,0.09054236215112402,-0.04544331486426695,-3.990433061544485
23.37453355592647,0.08866995080560411,-0.0472425786187094,-4.28371146206905
25.13321828565763,0.08893860340718657,-0.05242651298642208,-4.610535971355304
27.02422531269536,0.08928792964761656,-0.05641531092643894,-4.951412877322127
29.0575104807839,0.08763887179065566,-0.06099314721612947,-5.305860035792449
31.24377870488712,0.08915324280529997,-0.06866987248017886,-5.704999480127043
33.59454033082145,0.08789249327413529,-0.07533560996587271,-6.112463989582045
36.12217173534947,0.08726832304707541,-0.08403888237501639,-6.579456354444588
38.83998048578678,0.08798277392240088,-0.09400833025149138,-7.06798059822556
41.76227540217405,0.08761171027626448,-0.104526781920157,-7.596477932898196
44.90444189088293,0.08776585050862729,-0.1174290027708282,-8.155374073579623
48.28302294627144,0.08727941704107606,-0.131459846420704,-8.768728212951601
51.91580624685372,0.08199600069074131,-0.1459334839801739,-9.407768585792361
55.82191780452688,0.07575857184702593,-0.1657298544222467,-10.10535843823127
60.02192265990682,0.09215641790189724,-0.1893759725144834,-10.81899805072852
64.53793315391371,0.07439428365637034,-0.2109239466756847,-11.62893831501474
69.39372534564386,0.08208614670097807,-0.2393516634231214,-12.47717385358311
74.61486418944335,0.08311847697612898,-0.2724616109926822,-13.36353254793757
80.22883813022678,0.08142217548256542,-0.3071704045606364,-14.33041018173427
86.26520382565812,0.07948351042702856,-0.3491378688690424,-15.34086376687043
92.75574175713568,0.07784573230874546,-0.3975441757150639,-16.43689754884263
99.73462354884536,0.07541632446563114,-0.451133241613968,-17.58953112954848
107.2385918757928,0.07363865245668846,-0.5133285819950074,-18.81681504909689
115.307153907997,0.07071621061905584,-0.5822081828045576,-20.12665230728938
123.9827893093007,0.06943710073871064,-0.6623126952042103,-21.48939636982526
133.3111738858759,0.06673716648621186,-0.7545159229103746,-22.9277273302873
143.3414200618979,0.06288729563048834,-0.8557824650054778,-24.44634768087106
154.1263354484524,0.06006068102454098,-0.9715213994979273,-26.04051405642636
165.7227008669996,0.05446369942543186,-1.097860460606765,-27.72465635695858
178.1915692911442,0.05055408238414701,-1.24477452965921,-29.46176315253582
191.598587280588,0.04663045840828463,-1.405433839168373,-31.26770246235458
206.0143405995675,0.03937776961952243,-1.580122152739014,-33.11323816248751
221.5147258393931,0.03509366997673395,-1.777109454279767,-35.06351608240755
238.1813500016349,0.02801247463136993,-1.992993822941252,-37.02756975084685
256.1019601456786,0.02166662925991123,-2.227788014245373,-39.03037002434944
275.3709053626943,0.01275506387188146,-2.483346232072629,-41.07888763856425
